video,frame,car_count,bus_count,truck_count,total_vehicles,traffic_density (vehicles/km)
VID1.mp4,1,21,1,1,23,46.0
VID1.mp4,2,18,1,2,21,42.0
VID1.mp4,3,23,1,1,25,50.0
VID1.mp4,4,21,1,3,25,50.0
VID1.mp4,5,25,1,1,27,54.0
VID1.mp4,6,23,0,3,26,52.0
VID1.mp4,7,22,1,1,24,48.0
VID1.mp4,8,20,0,2,22,44.0
VID1.mp4,9,24,0,2,26,52.0
VID1.mp4,10,22,0,2,24,48.0
VID1.mp4,11,19,0,2,21,42.0
VID1.mp4,12,24,1,3,28,56.0
VID1.mp4,13,20,1,2,23,46.0
VID1.mp4,14,24,0,1,25,50.0
VID1.mp4,15,21,1,4,26,52.0
VID1.mp4,16,23,1,5,29,58.0
VID1.mp4,17,25,2,3,30,60.0
VID1.mp4,18,25,1,3,29,58.0
VID1.mp4,19,19,0,2,21,42.0
VID1.mp4,20,20,1,2,23,46.0
VID1.mp4,21,20,0,1,21,42.0
VID1.mp4,22,17,1,2,20,40.0
VID1.mp4,23,16,0,2,18,36.0
VID1.mp4,24,18,0,2,20,40.0
VID1.mp4,25,17,0,1,18,36.0
VID1.mp4,26,22,0,1,23,46.0
VID1.mp4,27,19,1,4,24,48.0
VID1.mp4,28,16,1,4,21,42.0
VID1.mp4,29,15,2,3,20,40.0
VID1.mp4,30,19,2,3,24,48.0
VID1.mp4,31,17,0,1,18,36.0
VID1.mp4,32,21,1,1,23,46.0
VID1.mp4,33,24,0,1,25,50.0
VID1.mp4,34,22,0,1,23,46.0
VID1.mp4,35,32,0,1,33,66.0
VID1.mp4,36,25,0,1,26,52.0
VID1.mp4,37,28,0,1,29,58.0
VID1.mp4,38,26,0,1,27,54.0
VID1.mp4,39,26,0,1,27,54.0
VID1.mp4,40,21,0,1,22,44.0
VID1.mp4,41,22,0,2,24,48.0
VID1.mp4,42,25,0,1,26,52.0
VID1.mp4,43,23,0,1,24,48.0
VID1.mp4,44,27,1,1,29,58.0
VID1.mp4,45,21,0,1,22,44.0
VID1.mp4,46,21,1,1,23,46.0
VID1.mp4,47,21,0,3,24,48.0
VID1.mp4,48,21,0,1,22,44.0
VID1.mp4,49,24,0,2,26,52.0
VID1.mp4,50,23,0,2,25,50.0
VID1.mp4,51,20,0,2,22,44.0
VID1.mp4,52,19,0,3,22,44.0
VID1.mp4,53,22,0,1,23,46.0
VID1.mp4,54,21,0,2,23,46.0
VID1.mp4,55,22,0,2,24,48.0
VID1.mp4,56,23,0,3,26,52.0
VID1.mp4,57,27,0,3,30,60.0
VID1.mp4,58,26,1,2,29,58.0
VID1.mp4,59,23,0,3,26,52.0
VID1.mp4,60,24,1,3,28,56.0
